OP Type,category,total_duration_us,pct_of_total,n_invocations,mean_duration_us,std_duration_us
hcom_allReduce_,comm,42820278.2,97.19523884488326,15494,2763.6684006712276,1483.1157006091069
hcom_allGather_,comm,255630.376,0.5802404023458052,251,1018.4477131474104,622.7413318779841
hcom_reduceScatter_,comm,217324.604,0.4932923764294849,129,1684.6868527131783,874.3848959111476
allgatherAicpuKernel,comm,33975.518,0.07711903625345036,129,263.37610852713175,188.32164278076056
reduce_scatterAicpuKernel,comm,28521.814,0.06473999330577294,129,221.09933333333333,73.0014685744118
