scenario,total_us,compute_us,compute_pct,comm_us,comm_pct,fused_us,fused_pct,n_kernels
profiler_decode_batch1,2234101.182,28931.106,1.2949774268549668,2205170.0760000004,98.70502257314506,0.0,0.0,3661
profiler_decode_batch16,9774411.896,130837.39199999999,1.3385704776114746,9643574.504,98.66142952238853,0.0,0.0,16329
profiler_decode_batch32,15190356.158,214746.48200000002,1.4137027451255895,14975609.675999999,98.58629725487441,0.0,0.0,26531
profiler_decode_batch4,4116033.8420000006,58471.862,1.4205874937993281,4057561.9799999995,98.57941250620065,0.0,0.0,7526
profiler_decode_batch8,6510876.92,88972.36000000002,1.3665188436706006,6421904.5600000005,98.63348115632941,0.0,0.0,11327
profiler_prefill_input1024,2160827.876,48794.368,2.2581330304903933,2112033.5080000004,97.74186696950962,0.0,0.0,3724
profiler_prefill_input256,2164437.916,36799.032,1.7001657440933498,2127638.884,98.29983425590665,0.0,0.0,3726
profiler_prefill_input4096,1904896.362,92659.03800000002,4.864256126916789,1812237.324,95.13574387308321,0.0,0.0,3982
